Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign,LLMAssign-IPRAG,SAMCodeTLR
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionService.java,Presentation Conversion,Presentation Conversion,85.91,non,50.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/Keys.java,Redis DB,Redis PubSub,150.34,non,50.00,Redis PubSub,Redis PubSub,non
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/ImageResizerHandler.java,Presentation Conversion,Presentation Conversion,86.64,non,80.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/PageConvertProgressMessage.java,Presentation Conversion,Presentation Conversion,84.10,Presentation Conversion,85.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommandResult.java,FreeSWITCH,FreeSWITCH,98.55,non,80.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/TextFileCreator.java,Presentation Conversion,Presentation Conversion,86.46,non,70.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfMember.java,FreeSWITCH,FreeSWITCH,101.45,non,80.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/AbstractOutboundPipelineFactory.java,FreeSWITCH,FreeSWITCH,91.16,FSESL,90.00,FSESL,FSESL,non
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAlivePing.java,BBB web,BBB web,74.81,non,70.00,BBB web,BBB web,non
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionServiceImp.java,Presentation Conversion,Presentation Conversion,179.81,non,60.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/MeetingEndedEvent.java,BBB web,BBB web,75.40,non,80.00,non,BBB web,non
