Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
bigbluebutton,Apps,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/Keys.java,Redis DB,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/AbstractOutboundClientHandler.java,FreeSWITCH,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06
bigbluebutton,Apps,bigbluebutton-web/pres-checker/src/main/java/org/bigbluebutton/prescheck/Main.java,BBB web,BBB web,38.56,BBB web,38.56,BBB web,38.56,None,38.56,None,38.56,None,38.56,None,38.56,None,38.56,None,38.56
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectAllUsersCommand.java,FreeSWITCH,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94
bigbluebutton,Apps,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ConversionMessageConstants.java,Presentation Conversion,Presentation Conversion,118.18,Presentation Conversion,118.18,Presentation Conversion,118.18,Presentation Conversion,118.18,Presentation Conversion,118.18,Presentation Conversion,118.18,Presentation Conversion,118.18,Presentation Conversion,118.18,Presentation Conversion,118.18
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfMember.java,FreeSWITCH,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45
bigbluebutton,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java,None,BBB web,39.08,BBB web,39.08,BBB web,39.08,None,39.08,None,39.08,None,39.08,None,39.08,None,39.08,None,39.08
bigbluebutton,Apps,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslFrameDecoder.java,FreeSWITCH,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,None,76.91,None,76.91
bigbluebutton,Apps,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/ReceivedMessage.java,Redis PubSub,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72
bigbluebutton,Apps,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserTalkingEvent.java,FreeSWITCH,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61
