Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign,LLMAssign-IPRAG,SAMCodeTLR
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAlivePing.java,non,non,5.55,non-None,85.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java,non,non,5.29,non-None,90.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/TextFileCreatorImp.java,non-None,non-None,99.53,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/SvgConversionHandler.java,non-None,non-None,97.1,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java,non-None,non-None,108.02,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/PresentationConvertMessage.java,non-None,non-None,94.61,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/MuteUserCommand.java,non-None,non-None,104.62,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ConversionUpdateMessage.java,non-None,non-None,159.91,non-None,90.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PresentationUrlDownloadService.java,non-None,non-None,137.86,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Pdf2PngPageConverterHandler.java,non-None,non-None,96.53,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionServiceImp.java,non-None,non-None,223.45,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAliveMessage.java,non,non,5.56,non-None,95.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/StunServer.java,non,non,5.51,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/ImageSlidesGenerationService.java,non-None,non-None,210.87,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageConverter.java,non-None,non-None,106.13,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/HeartbeatThread.java,non-None,non-None,91.76,non,5.0,non,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/GetUsersCommand.java,non-None,non-None,106.46,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bigbluebutton-web/pres-checker/src/main/java/org/bigbluebutton/prescheck/Main.java,non,non,20.11,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/Office2PdfPageConverter.java,non-None,non-None,252.01,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SupportedDocumentFilter.java,non-None,non-None,139.64,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMemberFlags.java,non-None,non-None,107.09,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/UnknownConferenceEvent.java,non-None,non-None,102.53,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfPageDownscaler.java,non-None,non-None,96.94,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocConversionRequestReceived.java,non-None,non-None,90.64,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierWrapper.java,non,non,4.95,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundPipelineFactory.java,non-None,non-None,89.66,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/EjectUserCommand.java,non-None,non-None,105.37,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceStartRecordingEvent.java,non-None,non-None,100.17,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageConversionStarted.java,non-None,non-None,90.4,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslHeaders.java,non-None,non-None,96.56,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/MimeTypeUtils.java,non-None,non-None,101.95,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/TurnEntry.java,non,non,5.43,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/CommandResponse.java,non-None,non-None,92.96,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/BigPdfException.java,non-None,non-None,102.12,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/DelayCallback.java,non,non,6.36,non,25.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/EslEventListener.java,non-None,non-None,91.93,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/RecordCommand.java,non-None,non-None,106.46,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java,non-None,non-None,103.84,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/AbstractCommandHandler.java,non-None,non-None,85.5,non-None,98.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/manager/internal/ManagerConnectionImpl.java,non-None,non-None,87.33,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/OfficeToPdfConversionService.java,non-None,non-None,185.51,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/Client.java,non-None,non,77.47,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageReceiver.java,non-None,non-None,291.59,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfSlidesGenerationService.java,non-None,non-None,93.73,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/Util.java,non-None,non-None,97.94,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/AbstractOutboundClientHandler.java,non-None,non-None,93.89,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/OfficeToPdfConversionSuccessFilter.java,non-None,non-None,151.33,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/IEslProtocolListener.java,non-None,non-None,92.89,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/manager/DefaultManagerConnection.java,non-None,non-None,83.23,non,10.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountExceeded.java,non-None,non-None,88.3,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/UploadFileTimedoutMessage.java,non-None,non-None,142.61,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/StopSoundCommand.java,non-None,non-None,111.09,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PresentationConversionCompletionService.java,non-None,non-None,225.91,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/PdfFontType3DetectorHandler.java,non-None,non-None,96.07,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageAnalyser.java,non-None,non-None,100.78,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/Keys.java,non-None,non-None,163.07,non-None,90.0,non,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageToSend.java,non-None,non-None,317.14,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/HoldUserCommand.java,non-None,non-None,110.85,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/SvgImageCreatorImp.java,non-None,non-None,91.32,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/ICallbackEvent.java,non,non,5.54,non,65.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/debug/ExecutionHandler.java,non-None,non-None,86.96,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/AddNamespaceToSvgHandler.java,non-None,non-None,94.53,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountFailed.java,non-None,non-None,89.68,non-None,98.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageExtractor.java,non-None,non-None,102.23,non-None,99.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageCounter.java,non-None,non-None,102.3,non-None,95.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java,non-None,non-None,87.88,non,0.0,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageDistributor.java,non-None,non-None,309.26,non-None,100.0,non-None,non-None,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageHandler.java,non-None,non-None,319.98,non-None,100.0,non-None,non-None,non
